SV.bin,SV.freq,SV.count,SNP.bin,SNP.freq,SNP.count
NA,All,3754,0,0,0
NA,All,3754,1,0.03125,17129
NA,All,3754,2,0.0625,11988
NA,All,3754,3,0.09375,9876
NA,All,3754,4,0.125,8169
NA,All,3754,5,0.15625,6909
NA,All,3754,6,0.1875,5895
NA,All,3754,7,0.21875,6409
NA,All,3754,8,0.25,4354
NA,All,3754,9,0.28125,4467
NA,All,3754,10,0.3125,5952
NA,All,3754,11,0.34375,3720
NA,All,3754,12,0.375,3706
NA,All,3754,13,0.40625,3704
NA,All,3754,14,0.4375,3982
NA,All,3754,15,0.46875,3249
NA,All,3754,16,0.5,2871
NA,All,3754,17,0.53125,3103
NA,All,3754,18,0.5625,3583
NA,All,3754,19,0.59375,2930
NA,All,3754,20,0.625,2363
NA,All,3754,21,0.65625,2369
NA,All,3754,22,0.6875,2470
NA,All,3754,23,0.71875,2463
NA,All,3754,24,0.75,2875
NA,All,3754,25,0.78125,2711
NA,All,3754,26,0.8125,2889
NA,All,3754,27,0.84375,2416
NA,All,3754,28,0.875,2211
NA,All,3754,29,0.90625,2625
NA,All,3754,30,0.9375,2814
NA,All,3754,31,0.96875,3163
NA,All,3754,32,1,5682
1,0.03125,193,0,0,0
1,0.03125,193,1,0.03125,1257
1,0.03125,193,2,0.0625,839
1,0.03125,193,3,0.09375,623
1,0.03125,193,4,0.125,481
1,0.03125,193,5,0.15625,383
1,0.03125,193,6,0.1875,255
1,0.03125,193,7,0.21875,304
1,0.03125,193,8,0.25,233
1,0.03125,193,9,0.28125,223
1,0.03125,193,10,0.3125,195
1,0.03125,193,11,0.34375,174
1,0.03125,193,12,0.375,277
1,0.03125,193,13,0.40625,257
1,0.03125,193,14,0.4375,212
1,0.03125,193,15,0.46875,170
1,0.03125,193,16,0.5,137
1,0.03125,193,17,0.53125,118
1,0.03125,193,18,0.5625,205
1,0.03125,193,19,0.59375,145
1,0.03125,193,20,0.625,125
1,0.03125,193,21,0.65625,169
1,0.03125,193,22,0.6875,148
1,0.03125,193,23,0.71875,127
1,0.03125,193,24,0.75,110
1,0.03125,193,25,0.78125,123
1,0.03125,193,26,0.8125,110
1,0.03125,193,27,0.84375,139
1,0.03125,193,28,0.875,138
1,0.03125,193,29,0.90625,121
1,0.03125,193,30,0.9375,123
1,0.03125,193,31,0.96875,110
1,0.03125,193,32,1,200
2,0.0625,192,0,0,0
2,0.0625,192,1,0.03125,2535
2,0.0625,192,2,0.0625,1470
2,0.0625,192,3,0.09375,1119
2,0.0625,192,4,0.125,1228
2,0.0625,192,5,0.15625,988
2,0.0625,192,6,0.1875,967
2,0.0625,192,7,0.21875,758
2,0.0625,192,8,0.25,640
2,0.0625,192,9,0.28125,378
2,0.0625,192,10,0.3125,366
2,0.0625,192,11,0.34375,297
2,0.0625,192,12,0.375,298
2,0.0625,192,13,0.40625,376
2,0.0625,192,14,0.4375,592
2,0.0625,192,15,0.46875,377
2,0.0625,192,16,0.5,248
2,0.0625,192,17,0.53125,198
2,0.0625,192,18,0.5625,205
2,0.0625,192,19,0.59375,300
2,0.0625,192,20,0.625,313
2,0.0625,192,21,0.65625,213
2,0.0625,192,22,0.6875,256
2,0.0625,192,23,0.71875,227
2,0.0625,192,24,0.75,186
2,0.0625,192,25,0.78125,247
2,0.0625,192,26,0.8125,210
2,0.0625,192,27,0.84375,264
2,0.0625,192,28,0.875,179
2,0.0625,192,29,0.90625,265
2,0.0625,192,30,0.9375,242
2,0.0625,192,31,0.96875,148
2,0.0625,192,32,1,257
3,0.09375,214,0,0,0
3,0.09375,214,1,0.03125,884
3,0.09375,214,2,0.0625,958
3,0.09375,214,3,0.09375,742
3,0.09375,214,4,0.125,500
3,0.09375,214,5,0.15625,445
3,0.09375,214,6,0.1875,322
3,0.09375,214,7,0.21875,350
3,0.09375,214,8,0.25,274
3,0.09375,214,9,0.28125,341
3,0.09375,214,10,0.3125,329
3,0.09375,214,11,0.34375,275
3,0.09375,214,12,0.375,225
3,0.09375,214,13,0.40625,302
3,0.09375,214,14,0.4375,330
3,0.09375,214,15,0.46875,357
3,0.09375,214,16,0.5,237
3,0.09375,214,17,0.53125,189
3,0.09375,214,18,0.5625,190
3,0.09375,214,19,0.59375,217
3,0.09375,214,20,0.625,154
3,0.09375,214,21,0.65625,212
3,0.09375,214,22,0.6875,191
3,0.09375,214,23,0.71875,203
3,0.09375,214,24,0.75,471
3,0.09375,214,25,0.78125,240
3,0.09375,214,26,0.8125,302
3,0.09375,214,27,0.84375,138
3,0.09375,214,28,0.875,132
3,0.09375,214,29,0.90625,181
3,0.09375,214,30,0.9375,157
3,0.09375,214,31,0.96875,212
3,0.09375,214,32,1,210
4,0.125,191,0,0,0
4,0.125,191,1,0.03125,2615
4,0.125,191,2,0.0625,1481
4,0.125,191,3,0.09375,1137
4,0.125,191,4,0.125,1177
4,0.125,191,5,0.15625,1081
4,0.125,191,6,0.1875,960
4,0.125,191,7,0.21875,749
4,0.125,191,8,0.25,580
4,0.125,191,9,0.28125,638
4,0.125,191,10,0.3125,428
4,0.125,191,11,0.34375,346
4,0.125,191,12,0.375,569
4,0.125,191,13,0.40625,475
4,0.125,191,14,0.4375,513
4,0.125,191,15,0.46875,445
4,0.125,191,16,0.5,409
4,0.125,191,17,0.53125,537
4,0.125,191,18,0.5625,666
4,0.125,191,19,0.59375,407
4,0.125,191,20,0.625,259
4,0.125,191,21,0.65625,294
4,0.125,191,22,0.6875,259
4,0.125,191,23,0.71875,347
4,0.125,191,24,0.75,353
4,0.125,191,25,0.78125,342
4,0.125,191,26,0.8125,480
4,0.125,191,27,0.84375,396
4,0.125,191,28,0.875,285
4,0.125,191,29,0.90625,328
4,0.125,191,30,0.9375,256
4,0.125,191,31,0.96875,367
4,0.125,191,32,1,282
5,0.15625,149,0,0,0
5,0.15625,149,1,0.03125,1398
5,0.15625,149,2,0.0625,922
5,0.15625,149,3,0.09375,823
5,0.15625,149,4,0.125,672
5,0.15625,149,5,0.15625,749
5,0.15625,149,6,0.1875,523
5,0.15625,149,7,0.21875,678
5,0.15625,149,8,0.25,492
5,0.15625,149,9,0.28125,663
5,0.15625,149,10,0.3125,902
5,0.15625,149,11,0.34375,453
5,0.15625,149,12,0.375,385
5,0.15625,149,13,0.40625,472
5,0.15625,149,14,0.4375,616
5,0.15625,149,15,0.46875,310
5,0.15625,149,16,0.5,265
5,0.15625,149,17,0.53125,313
5,0.15625,149,18,0.5625,554
5,0.15625,149,19,0.59375,374
5,0.15625,149,20,0.625,274
5,0.15625,149,21,0.65625,253
5,0.15625,149,22,0.6875,280
5,0.15625,149,23,0.71875,278
5,0.15625,149,24,0.75,230
5,0.15625,149,25,0.78125,229
5,0.15625,149,26,0.8125,329
5,0.15625,149,27,0.84375,189
5,0.15625,149,28,0.875,179
5,0.15625,149,29,0.90625,212
5,0.15625,149,30,0.9375,232
5,0.15625,149,31,0.96875,358
5,0.15625,149,32,1,637
6,0.1875,155,0,0,0
6,0.1875,155,1,0.03125,1973
6,0.1875,155,2,0.0625,1261
6,0.1875,155,3,0.09375,875
6,0.1875,155,4,0.125,1098
6,0.1875,155,5,0.15625,948
6,0.1875,155,6,0.1875,977
6,0.1875,155,7,0.21875,595
6,0.1875,155,8,0.25,544
6,0.1875,155,9,0.28125,449
6,0.1875,155,10,0.3125,472
6,0.1875,155,11,0.34375,384
6,0.1875,155,12,0.375,323
6,0.1875,155,13,0.40625,363
6,0.1875,155,14,0.4375,394
6,0.1875,155,15,0.46875,397
6,0.1875,155,16,0.5,303
6,0.1875,155,17,0.53125,249
6,0.1875,155,18,0.5625,254
6,0.1875,155,19,0.59375,248
6,0.1875,155,20,0.625,212
6,0.1875,155,21,0.65625,177
6,0.1875,155,22,0.6875,180
6,0.1875,155,23,0.71875,210
6,0.1875,155,24,0.75,204
6,0.1875,155,25,0.78125,259
6,0.1875,155,26,0.8125,336
6,0.1875,155,27,0.84375,196
6,0.1875,155,28,0.875,231
6,0.1875,155,29,0.90625,226
6,0.1875,155,30,0.9375,281
6,0.1875,155,31,0.96875,324
6,0.1875,155,32,1,327
7,0.21875,127,0,0,0
7,0.21875,127,1,0.03125,1082
7,0.21875,127,2,0.0625,699
7,0.21875,127,3,0.09375,582
7,0.21875,127,4,0.125,528
7,0.21875,127,5,0.15625,532
7,0.21875,127,6,0.1875,587
7,0.21875,127,7,0.21875,456
7,0.21875,127,8,0.25,257
7,0.21875,127,9,0.28125,319
7,0.21875,127,10,0.3125,345
7,0.21875,127,11,0.34375,269
7,0.21875,127,12,0.375,323
7,0.21875,127,13,0.40625,405
7,0.21875,127,14,0.4375,283
7,0.21875,127,15,0.46875,198
7,0.21875,127,16,0.5,247
7,0.21875,127,17,0.53125,254
7,0.21875,127,18,0.5625,452
7,0.21875,127,19,0.59375,342
7,0.21875,127,20,0.625,231
7,0.21875,127,21,0.65625,207
7,0.21875,127,22,0.6875,172
7,0.21875,127,23,0.71875,228
7,0.21875,127,24,0.75,242
7,0.21875,127,25,0.78125,246
7,0.21875,127,26,0.8125,275
7,0.21875,127,27,0.84375,194
7,0.21875,127,28,0.875,210
7,0.21875,127,29,0.90625,189
7,0.21875,127,30,0.9375,341
7,0.21875,127,31,0.96875,515
7,0.21875,127,32,1,500
8,0.25,108,0,0,0
8,0.25,108,1,0.03125,454
8,0.25,108,2,0.0625,235
8,0.25,108,3,0.09375,272
8,0.25,108,4,0.125,182
8,0.25,108,5,0.15625,119
8,0.25,108,6,0.1875,121
8,0.25,108,7,0.21875,134
8,0.25,108,8,0.25,76
8,0.25,108,9,0.28125,154
8,0.25,108,10,0.3125,80
8,0.25,108,11,0.34375,62
8,0.25,108,12,0.375,130
8,0.25,108,13,0.40625,72
8,0.25,108,14,0.4375,89
8,0.25,108,15,0.46875,47
8,0.25,108,16,0.5,50
8,0.25,108,17,0.53125,52
8,0.25,108,18,0.5625,44
8,0.25,108,19,0.59375,49
8,0.25,108,20,0.625,67
8,0.25,108,21,0.65625,41
8,0.25,108,22,0.6875,57
8,0.25,108,23,0.71875,55
8,0.25,108,24,0.75,92
8,0.25,108,25,0.78125,123
8,0.25,108,26,0.8125,44
8,0.25,108,27,0.84375,34
8,0.25,108,28,0.875,62
8,0.25,108,29,0.90625,54
8,0.25,108,30,0.9375,90
8,0.25,108,31,0.96875,93
8,0.25,108,32,1,125
9,0.28125,111,0,0,0
9,0.28125,111,1,0.03125,364
9,0.28125,111,2,0.0625,392
9,0.28125,111,3,0.09375,217
9,0.28125,111,4,0.125,231
9,0.28125,111,5,0.15625,191
9,0.28125,111,6,0.1875,209
9,0.28125,111,7,0.21875,108
9,0.28125,111,8,0.25,138
9,0.28125,111,9,0.28125,156
9,0.28125,111,10,0.3125,133
9,0.28125,111,11,0.34375,171
9,0.28125,111,12,0.375,98
9,0.28125,111,13,0.40625,93
9,0.28125,111,14,0.4375,138
9,0.28125,111,15,0.46875,107
9,0.28125,111,16,0.5,119
9,0.28125,111,17,0.53125,65
9,0.28125,111,18,0.5625,78
9,0.28125,111,19,0.59375,93
9,0.28125,111,20,0.625,62
9,0.28125,111,21,0.65625,61
9,0.28125,111,22,0.6875,62
9,0.28125,111,23,0.71875,56
9,0.28125,111,24,0.75,72
9,0.28125,111,25,0.78125,102
9,0.28125,111,26,0.8125,75
9,0.28125,111,27,0.84375,85
9,0.28125,111,28,0.875,68
9,0.28125,111,29,0.90625,72
9,0.28125,111,30,0.9375,72
9,0.28125,111,31,0.96875,141
9,0.28125,111,32,1,268
10,0.3125,128,0,0,0
10,0.3125,128,1,0.03125,663
10,0.3125,128,2,0.0625,500
10,0.3125,128,3,0.09375,792
10,0.3125,128,4,0.125,365
10,0.3125,128,5,0.15625,316
10,0.3125,128,6,0.1875,255
10,0.3125,128,7,0.21875,551
10,0.3125,128,8,0.25,303
10,0.3125,128,9,0.28125,316
10,0.3125,128,10,0.3125,1871
10,0.3125,128,11,0.34375,255
10,0.3125,128,12,0.375,310
10,0.3125,128,13,0.40625,238
10,0.3125,128,14,0.4375,235
10,0.3125,128,15,0.46875,145
10,0.3125,128,16,0.5,203
10,0.3125,128,17,0.53125,400
10,0.3125,128,18,0.5625,492
10,0.3125,128,19,0.59375,181
10,0.3125,128,20,0.625,155
10,0.3125,128,21,0.65625,144
10,0.3125,128,22,0.6875,122
10,0.3125,128,23,0.71875,140
10,0.3125,128,24,0.75,126
10,0.3125,128,25,0.78125,112
10,0.3125,128,26,0.8125,163
10,0.3125,128,27,0.84375,100
10,0.3125,128,28,0.875,114
10,0.3125,128,29,0.90625,131
10,0.3125,128,30,0.9375,134
10,0.3125,128,31,0.96875,119
10,0.3125,128,32,1,179
11,0.34375,107,0,0,0
11,0.34375,107,1,0.03125,280
11,0.34375,107,2,0.0625,214
11,0.34375,107,3,0.09375,179
11,0.34375,107,4,0.125,170
11,0.34375,107,5,0.15625,74
11,0.34375,107,6,0.1875,92
11,0.34375,107,7,0.21875,57
11,0.34375,107,8,0.25,23
11,0.34375,107,9,0.28125,48
11,0.34375,107,10,0.3125,39
11,0.34375,107,11,0.34375,45
11,0.34375,107,12,0.375,51
11,0.34375,107,13,0.40625,28
11,0.34375,107,14,0.4375,41
11,0.34375,107,15,0.46875,65
11,0.34375,107,16,0.5,17
11,0.34375,107,17,0.53125,18
11,0.34375,107,18,0.5625,39
11,0.34375,107,19,0.59375,40
11,0.34375,107,20,0.625,31
11,0.34375,107,21,0.65625,30
11,0.34375,107,22,0.6875,24
11,0.34375,107,23,0.71875,29
11,0.34375,107,24,0.75,43
11,0.34375,107,25,0.78125,69
11,0.34375,107,26,0.8125,30
11,0.34375,107,27,0.84375,16
11,0.34375,107,28,0.875,13
11,0.34375,107,29,0.90625,31
11,0.34375,107,30,0.9375,14
11,0.34375,107,31,0.96875,23
11,0.34375,107,32,1,25
12,0.375,92,0,0,0
12,0.375,92,1,0.03125,630
12,0.375,92,2,0.0625,330
12,0.375,92,3,0.09375,248
12,0.375,92,4,0.125,199
12,0.375,92,5,0.15625,217
12,0.375,92,6,0.1875,310
12,0.375,92,7,0.21875,133
12,0.375,92,8,0.25,105
12,0.375,92,9,0.28125,97
12,0.375,92,10,0.3125,74
12,0.375,92,11,0.34375,124
12,0.375,92,12,0.375,119
12,0.375,92,13,0.40625,103
12,0.375,92,14,0.4375,73
12,0.375,92,15,0.46875,56
12,0.375,92,16,0.5,60
12,0.375,92,17,0.53125,88
12,0.375,92,18,0.5625,72
12,0.375,92,19,0.59375,88
12,0.375,92,20,0.625,68
12,0.375,92,21,0.65625,79
12,0.375,92,22,0.6875,63
12,0.375,92,23,0.71875,90
12,0.375,92,24,0.75,158
12,0.375,92,25,0.78125,136
12,0.375,92,26,0.8125,94
12,0.375,92,27,0.84375,106
12,0.375,92,28,0.875,143
12,0.375,92,29,0.90625,160
12,0.375,92,30,0.9375,114
12,0.375,92,31,0.96875,237
12,0.375,92,32,1,124
13,0.40625,109,0,0,0
13,0.40625,109,1,0.03125,577
13,0.40625,109,2,0.0625,345
13,0.40625,109,3,0.09375,258
13,0.40625,109,4,0.125,159
13,0.40625,109,5,0.15625,147
13,0.40625,109,6,0.1875,113
13,0.40625,109,7,0.21875,105
13,0.40625,109,8,0.25,63
13,0.40625,109,9,0.28125,91
13,0.40625,109,10,0.3125,150
13,0.40625,109,11,0.34375,64
13,0.40625,109,12,0.375,61
13,0.40625,109,13,0.40625,66
13,0.40625,109,14,0.4375,46
13,0.40625,109,15,0.46875,83
13,0.40625,109,16,0.5,67
13,0.40625,109,17,0.53125,64
13,0.40625,109,18,0.5625,51
13,0.40625,109,19,0.59375,40
13,0.40625,109,20,0.625,60
13,0.40625,109,21,0.65625,35
13,0.40625,109,22,0.6875,78
13,0.40625,109,23,0.71875,48
13,0.40625,109,24,0.75,75
13,0.40625,109,25,0.78125,36
13,0.40625,109,26,0.8125,45
13,0.40625,109,27,0.84375,41
13,0.40625,109,28,0.875,92
13,0.40625,109,29,0.90625,86
13,0.40625,109,30,0.9375,60
13,0.40625,109,31,0.96875,91
13,0.40625,109,32,1,127
14,0.4375,95,0,0,0
14,0.4375,95,1,0.03125,345
14,0.4375,95,2,0.0625,268
14,0.4375,95,3,0.09375,196
14,0.4375,95,4,0.125,140
14,0.4375,95,5,0.15625,169
14,0.4375,95,6,0.1875,72
14,0.4375,95,7,0.21875,119
14,0.4375,95,8,0.25,60
14,0.4375,95,9,0.28125,45
14,0.4375,95,10,0.3125,78
14,0.4375,95,11,0.34375,85
14,0.4375,95,12,0.375,62
14,0.4375,95,13,0.40625,63
14,0.4375,95,14,0.4375,38
14,0.4375,95,15,0.46875,37
14,0.4375,95,16,0.5,253
14,0.4375,95,17,0.53125,78
14,0.4375,95,18,0.5625,53
14,0.4375,95,19,0.59375,23
14,0.4375,95,20,0.625,53
14,0.4375,95,21,0.65625,30
14,0.4375,95,22,0.6875,71
14,0.4375,95,23,0.71875,19
14,0.4375,95,24,0.75,23
14,0.4375,95,25,0.78125,20
14,0.4375,95,26,0.8125,55
14,0.4375,95,27,0.84375,35
14,0.4375,95,28,0.875,55
14,0.4375,95,29,0.90625,34
14,0.4375,95,30,0.9375,78
14,0.4375,95,31,0.96875,27
14,0.4375,95,32,1,103
15,0.46875,87,0,0,0
15,0.46875,87,1,0.03125,579
15,0.46875,87,2,0.0625,376
15,0.46875,87,3,0.09375,374
15,0.46875,87,4,0.125,255
15,0.46875,87,5,0.15625,213
15,0.46875,87,6,0.1875,197
15,0.46875,87,7,0.21875,247
15,0.46875,87,8,0.25,175
15,0.46875,87,9,0.28125,241
15,0.46875,87,10,0.3125,143
15,0.46875,87,11,0.34375,175
15,0.46875,87,12,0.375,222
15,0.46875,87,13,0.40625,222
15,0.46875,87,14,0.4375,206
15,0.46875,87,15,0.46875,128
15,0.46875,87,16,0.5,125
15,0.46875,87,17,0.53125,174
15,0.46875,87,18,0.5625,198
15,0.46875,87,19,0.59375,181
15,0.46875,87,20,0.625,126
15,0.46875,87,21,0.65625,141
15,0.46875,87,22,0.6875,101
15,0.46875,87,23,0.71875,133
15,0.46875,87,24,0.75,149
15,0.46875,87,25,0.78125,96
15,0.46875,87,26,0.8125,178
15,0.46875,87,27,0.84375,99
15,0.46875,87,28,0.875,119
15,0.46875,87,29,0.90625,78
15,0.46875,87,30,0.9375,54
15,0.46875,87,31,0.96875,54
15,0.46875,87,32,1,38
16,0.5,100,0,0,0
16,0.5,100,1,0.03125,1065
16,0.5,100,2,0.0625,1353
16,0.5,100,3,0.09375,646
16,0.5,100,4,0.125,505
16,0.5,100,5,0.15625,406
16,0.5,100,6,0.1875,461
16,0.5,100,7,0.21875,992
16,0.5,100,8,0.25,366
16,0.5,100,9,0.28125,478
16,0.5,100,10,0.3125,408
16,0.5,100,11,0.34375,519
16,0.5,100,12,0.375,274
16,0.5,100,13,0.40625,370
16,0.5,100,14,0.4375,294
16,0.5,100,15,0.46875,278
16,0.5,100,16,0.5,275
16,0.5,100,17,0.53125,332
16,0.5,100,18,0.5625,679
16,0.5,100,19,0.59375,356
16,0.5,100,20,0.625,158
16,0.5,100,21,0.65625,181
16,0.5,100,22,0.6875,128
16,0.5,100,23,0.71875,256
16,0.5,100,24,0.75,218
16,0.5,100,25,0.78125,225
16,0.5,100,26,0.8125,326
16,0.5,100,27,0.84375,114
16,0.5,100,28,0.875,135
16,0.5,100,29,0.90625,99
16,0.5,100,30,0.9375,233
16,0.5,100,31,0.96875,211
16,0.5,100,32,1,157
17,0.53125,95,0,0,0
17,0.53125,95,1,0.03125,822
17,0.53125,95,2,0.0625,453
17,0.53125,95,3,0.09375,511
17,0.53125,95,4,0.125,405
17,0.53125,95,5,0.15625,273
17,0.53125,95,6,0.1875,241
17,0.53125,95,7,0.21875,293
17,0.53125,95,8,0.25,205
17,0.53125,95,9,0.28125,379
17,0.53125,95,10,0.3125,257
17,0.53125,95,11,0.34375,242
17,0.53125,95,12,0.375,180
17,0.53125,95,13,0.40625,251
17,0.53125,95,14,0.4375,554
17,0.53125,95,15,0.46875,223
17,0.53125,95,16,0.5,187
17,0.53125,95,17,0.53125,171
17,0.53125,95,18,0.5625,373
17,0.53125,95,19,0.59375,228
17,0.53125,95,20,0.625,149
17,0.53125,95,21,0.65625,132
17,0.53125,95,22,0.6875,148
17,0.53125,95,23,0.71875,106
17,0.53125,95,24,0.75,133
17,0.53125,95,25,0.78125,125
17,0.53125,95,26,0.8125,191
17,0.53125,95,27,0.84375,126
17,0.53125,95,28,0.875,105
17,0.53125,95,29,0.90625,164
17,0.53125,95,30,0.9375,202
17,0.53125,95,31,0.96875,210
17,0.53125,95,32,1,627
18,0.5625,100,0,0,0
18,0.5625,100,1,0.03125,1033
18,0.5625,100,2,0.0625,696
18,0.5625,100,3,0.09375,539
18,0.5625,100,4,0.125,450
18,0.5625,100,5,0.15625,617
18,0.5625,100,6,0.1875,492
18,0.5625,100,7,0.21875,381
18,0.5625,100,8,0.25,341
18,0.5625,100,9,0.28125,210
18,0.5625,100,10,0.3125,231
18,0.5625,100,11,0.34375,262
18,0.5625,100,12,0.375,328
18,0.5625,100,13,0.40625,298
18,0.5625,100,14,0.4375,229
18,0.5625,100,15,0.46875,228
18,0.5625,100,16,0.5,237
18,0.5625,100,17,0.53125,202
18,0.5625,100,18,0.5625,220
18,0.5625,100,19,0.59375,254
18,0.5625,100,20,0.625,204
18,0.5625,100,21,0.65625,198
18,0.5625,100,22,0.6875,186
18,0.5625,100,23,0.71875,227
18,0.5625,100,24,0.75,254
18,0.5625,100,25,0.78125,266
18,0.5625,100,26,0.8125,273
18,0.5625,100,27,0.84375,259
18,0.5625,100,28,0.875,293
18,0.5625,100,29,0.90625,496
18,0.5625,100,30,0.9375,156
18,0.5625,100,31,0.96875,249
18,0.5625,100,32,1,97
19,0.59375,94,0,0,0
19,0.59375,94,1,0.03125,666
19,0.59375,94,2,0.0625,683
19,0.59375,94,3,0.09375,280
19,0.59375,94,4,0.125,219
19,0.59375,94,5,0.15625,204
19,0.59375,94,6,0.1875,210
19,0.59375,94,7,0.21875,251
19,0.59375,94,8,0.25,209
19,0.59375,94,9,0.28125,272
19,0.59375,94,10,0.3125,171
19,0.59375,94,11,0.34375,211
19,0.59375,94,12,0.375,186
19,0.59375,94,13,0.40625,227
19,0.59375,94,14,0.4375,141
19,0.59375,94,15,0.46875,325
19,0.59375,94,16,0.5,178
19,0.59375,94,17,0.53125,423
19,0.59375,94,18,0.5625,688
19,0.59375,94,19,0.59375,235
19,0.59375,94,20,0.625,106
19,0.59375,94,21,0.65625,132
19,0.59375,94,22,0.6875,148
19,0.59375,94,23,0.71875,131
19,0.59375,94,24,0.75,102
19,0.59375,94,25,0.78125,136
19,0.59375,94,26,0.8125,165
19,0.59375,94,27,0.84375,112
19,0.59375,94,28,0.875,118
19,0.59375,94,29,0.90625,67
19,0.59375,94,30,0.9375,119
19,0.59375,94,31,0.96875,229
19,0.59375,94,32,1,191
20,0.625,109,0,0,0
20,0.625,109,1,0.03125,688
20,0.625,109,2,0.0625,405
20,0.625,109,3,0.09375,345
20,0.625,109,4,0.125,185
20,0.625,109,5,0.15625,278
20,0.625,109,6,0.1875,262
20,0.625,109,7,0.21875,132
20,0.625,109,8,0.25,90
20,0.625,109,9,0.28125,119
20,0.625,109,10,0.3125,124
20,0.625,109,11,0.34375,145
20,0.625,109,12,0.375,153
20,0.625,109,13,0.40625,85
20,0.625,109,14,0.4375,67
20,0.625,109,15,0.46875,45
20,0.625,109,16,0.5,54
20,0.625,109,17,0.53125,85
20,0.625,109,18,0.5625,80
20,0.625,109,19,0.59375,99
20,0.625,109,20,0.625,59
20,0.625,109,21,0.65625,74
20,0.625,109,22,0.6875,111
20,0.625,109,23,0.71875,67
20,0.625,109,24,0.75,147
20,0.625,109,25,0.78125,97
20,0.625,109,26,0.8125,135
20,0.625,109,27,0.84375,85
20,0.625,109,28,0.875,112
20,0.625,109,29,0.90625,88
20,0.625,109,30,0.9375,151
20,0.625,109,31,0.96875,197
20,0.625,109,32,1,243
21,0.65625,107,0,0,0
21,0.65625,107,1,0.03125,696
21,0.65625,107,2,0.0625,356
21,0.65625,107,3,0.09375,604
21,0.65625,107,4,0.125,380
21,0.65625,107,5,0.15625,584
21,0.65625,107,6,0.1875,244
21,0.65625,107,7,0.21875,222
21,0.65625,107,8,0.25,174
21,0.65625,107,9,0.28125,223
21,0.65625,107,10,0.3125,215
21,0.65625,107,11,0.34375,143
21,0.65625,107,12,0.375,270
21,0.65625,107,13,0.40625,235
21,0.65625,107,14,0.4375,229
21,0.65625,107,15,0.46875,145
21,0.65625,107,16,0.5,148
21,0.65625,107,17,0.53125,197
21,0.65625,107,18,0.5625,161
21,0.65625,107,19,0.59375,210
21,0.65625,107,20,0.625,126
21,0.65625,107,21,0.65625,132
21,0.65625,107,22,0.6875,105
21,0.65625,107,23,0.71875,132
21,0.65625,107,24,0.75,192
21,0.65625,107,25,0.78125,200
21,0.65625,107,26,0.8125,164
21,0.65625,107,27,0.84375,99
21,0.65625,107,28,0.875,126
21,0.65625,107,29,0.90625,73
21,0.65625,107,30,0.9375,78
21,0.65625,107,31,0.96875,82
21,0.65625,107,32,1,405
22,0.6875,85,0,0,0
22,0.6875,85,1,0.03125,636
22,0.6875,85,2,0.0625,480
22,0.6875,85,3,0.09375,228
22,0.6875,85,4,0.125,225
22,0.6875,85,5,0.15625,216
22,0.6875,85,6,0.1875,145
22,0.6875,85,7,0.21875,174
22,0.6875,85,8,0.25,103
22,0.6875,85,9,0.28125,130
22,0.6875,85,10,0.3125,139
22,0.6875,85,11,0.34375,103
