Transcript,Protein,Num del,Num dup
ENST00000426406,ENSP00000409316,0,0
ENST00000332831,ENSP00000329982,0,0
ENST00000622503,ENSP00000482138,0,0
ENST00000327044,ENSP00000317992,0,0
ENST00000338591,ENSP00000343930,2,0
ENST00000379409,ENSP00000368719,0,0
ENST00000433179,ENSP00000414022,0,0
ENST00000428771,ENSP00000393198,0,0
ENST00000379370,ENSP00000368678,0,0
ENST00000453464,ENSP00000410533,0,0
ENST00000379339,ENSP00000368644,1,0
ENST00000379289,ENSP00000368591,0,0
ENST00000328596,ENSP00000328207,0,0
ENST00000379236,ENSP00000368538,0,0
ENST00000360001,ENSP00000353094,0,0
ENST00000379198,ENSP00000368496,0,0
ENST00000330388,ENSP00000329137,0,0
ENST00000400930,ENSP00000383719,0,0
ENST00000379116,ENSP00000368411,0,0
ENST00000354700,ENSP00000346733,1,0
ENST00000379031,ENSP00000368318,0,0
ENST00000540437,ENSP00000445001,0,0
ENST00000343938,ENSP00000343890,0,0
ENST00000339381,ENSP00000344411,0,0
ENST00000378888,ENSP00000368166,0,0
ENST00000445648,ENSP00000399229,0,0
ENST00000338338,ENSP00000340656,0,0
ENST00000400809,ENSP00000383611,0,0
ENST00000482352,ENSP00000460924,0,0
ENST00000454272,ENSP00000482314,0,0
ENST00000378821,ENSP00000455099,0,0
ENST00000476993,ENSP00000417185,0,0
ENST00000378785,ENSP00000368062,0,0
ENST00000308647,ENSP00000311766,0,0
ENST00000378755,ENSP00000368030,2,1
ENST00000378733,ENSP00000368007,0,0
ENST00000291386,ENSP00000291386,0,0
ENST00000422725,ENSP00000389111,0,0
ENST00000505820,ENSP00000426103,0,0
ENST00000356026,ENSP00000348308,0,0
ENST00000407249,ENSP00000464036,1,0
ENST00000617444,ENSP00000481694,0,0
ENST00000378633,ENSP00000367900,0,0
ENST00000378625,ENSP00000367890,0,0
ENST00000610897,ENSP00000481878,4,0
ENST00000307786,ENSP00000304643,0,0
ENST00000310991,ENSP00000311122,0,0
ENST00000493964,ENSP00000417061,0,0
ENST00000378567,ENSP00000367830,0,0
ENST00000414253,ENSP00000410450,0,0
ENST00000378536,ENSP00000367797,0,1
ENST00000378531,ENSP00000367792,2,0
ENST00000605895,ENSP00000475168,0,0
ENST00000288774,ENSP00000288774,0,0
ENST00000419816,ENSP00000389803,0,0
ENST00000378466,ENSP00000367727,0,0
ENST00000378453,ENSP00000367714,0,0
ENST00000355716,ENSP00000347948,0,0
ENST00000444521,ENSP00000413218,0,0
ENST00000378412,ENSP00000367668,0,0
ENST00000401095,ENSP00000383873,0,0
ENST00000378404,ENSP00000367658,0,0
ENST00000270722,ENSP00000270722,3,3
ENST00000378378,ENSP00000367629,0,0
ENST00000356575,ENSP00000348982,1,0
ENST00000378344,ENSP00000367595,0,0
ENST00000270708,ENSP00000270708,0,0
ENST00000378295,ENSP00000367545,1,0
ENST00000294600,ENSP00000294600,0,0
ENST00000444870,ENSP00000457386,0,0
ENST00000378251,ENSP00000367498,0,0
ENST00000378230,ENSP00000367476,0,0
ENST00000338895,ENSP00000339524,0,0
ENST00000361605,ENSP00000355306,0,0
ENST00000378191,ENSP00000367433,4,0
ENST00000378156,ENSP00000367398,0,1
ENST00000378083,ENSP00000367323,8,0
ENST00000262450,ENSP00000262450,0,1
ENST00000484532,ENSP00000465763,0,0
ENST00000234875,ENSP00000346088,0,0
ENST00000377939,ENSP00000367173,1,0
ENST00000343813,ENSP00000343552,0,0
ENST00000377898,ENSP00000367130,0,0
ENST00000377893,ENSP00000367125,0,0
ENST00000377855,ENSP00000367086,1,0
ENST00000377834,ENSP00000367065,0,0
ENST00000377782,ENSP00000367013,0,0
ENST00000537245,ENSP00000439625,0,0
ENST00000377705,ENSP00000366934,0,0
ENST00000333172,ENSP00000331867,0,0
ENST00000377674,ENSP00000366902,0,0
ENST00000377658,ENSP00000366886,0,0
ENST00000377648,ENSP00000366876,0,0
ENST00000054650,ENSP00000054650,0,0
ENST00000377577,ENSP00000366800,0,0
ENST00000303635,ENSP00000306522,4,0
ENST00000054666,ENSP00000054666,0,0
ENST00000613533,ENSP00000482093,0,0
ENST00000377516,ENSP00000366738,0,0
ENST00000615230,ENSP00000478699,1,0
ENST00000493373,ENSP00000465404,0,0
ENST00000377482,ENSP00000366702,0,0
ENST00000471889,ENSP00000418096,0,0
ENST00000400908,ENSP00000383700,3,0
ENST00000234590,ENSP00000234590,0,0
ENST00000377436,ENSP00000366654,0,0
ENST00000400906,ENSP00000383698,0,0
ENST00000377424,ENSP00000366641,0,0
ENST00000377411,ENSP00000366628,2,1
ENST00000602477,ENSP00000473348,0,0
ENST00000328089,ENSP00000330221,1,0
ENST00000302692,ENSP00000306328,1,0
ENST00000340381,ENSP00000344503,1,0
ENST00000536656,ENSP00000446444,0,0
ENST00000377298,ENSP00000366513,1,0
ENST00000377263,ENSP00000366474,1,0
ENST00000377213,ENSP00000366418,0,0
ENST00000462686,ENSP00000435134,0,0
ENST00000294435,ENSP00000294435,0,0
ENST00000343090,ENSP00000343001,0,0
