Gene,SV type, SV key
ENSMMUP00000023175.3,NA,NA
ENSMMUP00000049705.1,NA,NA
ENSMMUP00000058434.1,NA,NA
ENSMMUP00000020208.2,NA,NA
ENSMMUP00000060818.1,NA,NA
ENSMMUP00000009077.3,NA,NA
ENSMMUP00000012402.3,NA,NA
ENSMMUP00000029657.1,NA,NA
ENSMMUP00000032987.2,NA,NA
ENSMMUP00000020164.2,NA,NA
ENSMMUP00000048147.1,NA,NA
ENSMMUP00000000600.2,NA,NA
ENSMMUP00000030480.3,NA,NA
ENSMMUP00000032528.1,NA,NA
ENSMMUP00000017421.3,NA,NA
ENSMMUP00000040338.2,NA,NA
ENSMMUP00000042294.1,NA,NA
ENSMMUP00000027364.2,NA,NA
ENSMMUP00000050042.1,NA,NA
ENSMMUP00000022915.3,NA,NA
ENSMMUP00000061062.1,NA,NA
ENSMMUP00000047726.1,NA,NA
ENSMMUP00000042364.1,NA,NA
ENSMMUP00000053785.1,NA,NA
ENSMMUP00000007715.2,NA,NA
ENSMMUP00000027108.3,NA,NA
ENSMMUP00000017636.2,NA,NA
ENSMMUP00000020168.3,NA,NA
ENSMMUP00000040818.2,NA,NA
ENSMMUP00000047810.1,NA,NA
ENSMMUP00000013834.3,NA,NA
ENSMMUP00000001517.3,NA,NA
ENSMMUP00000060314.1,NA,NA
ENSMMUP00000040612.2,NA,NA
ENSMMUP00000017652.3,NA,NA
ENSMMUP00000003465.2,NA,NA
ENSMMUP00000053926.1,NA,NA
ENSMMUP00000044875.1,NA,NA
ENSMMUP00000050057.1,NA,NA
ENSMMUP00000034430.2,NA,NA
ENSMMUP00000016797.3,NA,NA
ENSMMUP00000000844.2,NA,NA
ENSMMUP00000041933.1,NA,NA
ENSMMUP00000012729.3,NA,NA
ENSMMUP00000043708.1,NA,NA
ENSMMUP00000054985.1,NA,NA
ENSMMUP00000050278.1,NA,NA
ENSMMUP00000014769.3,NA,NA
ENSMMUP00000011372.3,NA,NA
ENSMMUP00000054769.1,NA,NA
ENSMMUP00000038639.2,NA,NA
ENSMMUP00000007544.2,NA,NA
ENSMMUP00000039585.1,NA,NA
ENSMMUP00000057117.1,NA,NA
ENSMMUP00000013319.2,NA,NA
ENSMMUP00000023637.3,NA,NA
ENSMMUP00000017894.3,NA,NA
ENSMMUP00000001740.3,NA,NA
ENSMMUP00000016711.2,NA,NA
ENSMMUP00000038546.2,NA,NA
ENSMMUP00000012683.3,NA,NA
ENSMMUP00000027378.3,NA,NA
ENSMMUP00000025981.1,NA,NA
ENSMMUP00000044859.1,NA,NA
ENSMMUP00000060142.1,NA,NA
ENSMMUP00000043976.1,NA,NA
ENSMMUP00000005082.3,NA,NA
ENSMMUP00000034863.2,NA,NA
ENSMMUP00000009362.3,NA,NA
ENSMMUP00000006619.2,NA,NA
ENSMMUP00000002764.2,NA,NA
ENSMMUP00000049719.1,NA,NA
ENSMMUP00000021331.3,NA,NA
ENSMMUP00000041745.1,NA,NA
ENSMMUP00000009044.3,NA,NA
ENSMMUP00000001628.1,NA,NA
ENSMMUP00000037843.2,NA,NA
ENSMMUP00000005019.3,NA,NA
ENSMMUP00000027635.3,NA,NA
ENSMMUP00000046378.1,NA,NA
ENSMMUP00000052396.1,NA,NA
ENSMMUP00000058792.1,NA,NA
ENSMMUP00000010479.2,NA,NA
ENSMMUP00000047665.1,NA,NA
ENSMMUP00000052271.1,NA,NA
