Transcript,Protein,Num del,Num dup
ENSMMUT00000063154,ENSMMUP00000049946,0,0
ENSMMUT00000047680,ENSMMUP00000040703,0,0
ENSMMUT00000022193,ENSMMUP00000020763,0,0
ENSMMUT00000047678,ENSMMUP00000040701,0,0
ENSMMUT00000031689,ENSMMUP00000029647,0,0
ENSMMUT00000011676,ENSMMUP00000042237,0,0
ENSMMUT00000072736,ENSMMUP00000055484,0,0
ENSMMUT00000076502,ENSMMUP00000050343,0,0
ENSMMUT00000047676,ENSMMUP00000040699,1,0
ENSMMUT00000047672,ENSMMUP00000040695,0,0
ENSMMUT00000075964,ENSMMUP00000054306,0,0
ENSMMUT00000062814,ENSMMUP00000060667,0,0
ENSMMUT00000019937,ENSMMUP00000018662,0,0
ENSMMUT00000027418,ENSMMUP00000025642,0,0
ENSMMUT00000027420,ENSMMUP00000025644,0,0
ENSMMUT00000043657,ENSMMUP00000036650,0,0
ENSMMUT00000047670,ENSMMUP00000040693,0,0
ENSMMUT00000047667,ENSMMUP00000040690,0,0
ENSMMUT00000067165,ENSMMUP00000049841,0,0
ENSMMUT00000022868,ENSMMUP00000021389,0,0
ENSMMUT00000019462,ENSMMUP00000018223,0,0
ENSMMUT00000019474,ENSMMUP00000018235,0,0
ENSMMUT00000074540,ENSMMUP00000042548,0,0
ENSMMUT00000074793,ENSMMUP00000052229,0,0
ENSMMUT00000009646,ENSMMUP00000009061,0,0
ENSMMUT00000069402,ENSMMUP00000052731,0,0
ENSMMUT00000018644,ENSMMUP00000017464,0,0
ENSMMUT00000073339,ENSMMUP00000042173,1,1
ENSMMUT00000002189,ENSMMUP00000002068,1,1
ENSMMUT00000056997,ENSMMUP00000049987,0,0
ENSMMUT00000002192,ENSMMUP00000002071,0,0
ENSMMUT00000063821,ENSMMUP00000044313,0,0
ENSMMUT00000018174,ENSMMUP00000017013,0,0
ENSMMUT00000002664,ENSMMUP00000002516,0,0
ENSMMUT00000002667,ENSMMUP00000002519,0,0
ENSMMUT00000047651,ENSMMUP00000040674,0,0
ENSMMUT00000015215,ENSMMUP00000014257,0,0
ENSMMUT00000002674,ENSMMUP00000002526,0,0
