Family ID,Individual ID,Relationship,Sex,Mother ID,Mother age,Father ID,Father age,Child ID,Sibling ID,Focal,F2
8-f1,39214,Father,Male,NA,NA,NA,NA,39243,NA,F,F
8-f1,39238,Mother,Female,NA,NA,NA,NA,39243,NA,F,F
8-f1,39243,F1,Male,39238,3.493,39214,26.485,39317,NA,T,F
8-f2,39237,Mother,Female,NA,NA,NA,NA,39317,NA,F,F
8-f2,39317,F1,Female,39237,8.444,39243,5.353,NA,NA,F,T
16,39216,Father,Male,NA,NA,NA,NA,39313;39226,NA,F,F
16-left-f1,39228,Mother,Female,NA,NA,NA,NA,39313,NA,F,F
16-left-f1,39313,F1,Male,39228,8.208,39216,16.49,NA,NA,T,F
16-left-f2,39320,Mother,Female,NA,NA,NA,NA,39242,NA,F,F
16-left-f2,39242,F1,Female,39320,8.595,39313,4.449,NA,NA,F,T
16-right-f1,39222,Mother,Female,NA,NA,NA,NA,39226,NA,F,F
16-right-f1,39226,F1,Male,39222,3.433,39216,6.485,39230,NA,T,F
16-right-f2,39224,Mother,Female,NA,NA,NA,NA,39230,NA,F,F
16-right-f2,39230,F1,Female,39224,5.548,39226,4.423,NA,NA,F,T
17,39309,Father,Male,NA,NA,NA,NA,39234;39227,NA,F,F
17-left-f1,39310,Mother,Female,NA,NA,NA,NA,39234,NA,F,F
17-left-f1,39234,F1,Male,39310,11.548,39309,13.411,39316,NA,T,F
17-left-f2,39235,Mother,Female,NA,NA,NA,NA,39316,NA,F,F
17-left-f2,39316,F1,Female,39235,3.693,39234,5.504,NA,NA,F,T
17-right-f1,39219,Mother,Female,NA,NA,NA,NA,39227,NA,F,F
17-right-f1,39227,F1,Male,39219,5.479,39309,5.423,39231,NA,T,F
17-right-f2,39218,Mother,Female,NA,NA,NA,NA,39231,NA,F,F
17-right-f2,39231,F1,Female,39218,11.189,39227,5.288,NA,NA,F,T
27,39223,Father,Male,NA,NA,NA,NA,39318;39229,NA,F,F
27-left-f1,39215,Mother,Female,NA,NA,NA,NA,39318,NA,F,F
27-left-f1,39318,F1,Male,39215,21.627,39223,15.715,39314,NA,T,F
27-left-f2,39239,Mother,Female,NA,NA,NA,NA,39314,NA,F,F
27-left-f2,39314,F1,Female,39239,4.471,39318,3.844,NA,NA,F,T
27-right-f1,39225,Mother,Female,NA,NA,NA,NA,39229,NA,F,F
27-right-f1,39229,F1,Male,39225,4.477,39223,5.542,39319,NA,T,F
27-right-f2,39217,Mother,Female,NA,NA,NA,NA,39319,NA,F,F
27-right-f2,39319,F1,Female,39217,13.29,39229,4.307,NA,NA,F,T
